Title,link,Year,Venue,Train?,language,level?,message?,location?,metric,baseline LLM,compared LLMs,Data source type,Evaluation,Industrial evidence,Human/user study,Deployment metrics
Benchmarking Open-Source Large Language Models for Log Level Suggestion,https://arxiv.org/pdf/2410.08499,2025,ICST 2025,yes,Java,yes,no,no,Acc. AUC AOD,CodeLlama 13B,"CodeLlama 7B, LLaMA 2 7B, LLaMA 2 13B, BERT base, BERT large, RoBERTa base, RoBERTa large, CodeBERTa, CodeBERT, codebert-java, GraphCodeBERT",Nine Apache Java systems; dataset with ~17.6 k log statements,"Offline benchmark; accuracy, AUC and average ordinal distance",–,–,–
LogUpdater: Automated Detection and Repair of Specific Defects in Logging Statements,https://dl.acm.org/doi/pdf/10.1145/3731754,2025,TOSEM,yes,Java,no,yes,no,"BLEU-1, BLEU-2, BLEU-4, ROUGE-1, ROUGE-2, ROUGE-L","CodeT5+, GPT4o","Claude3.5-sonnet, GPT3.5, GPT4o, Deepseek-coder-v2, Deepseek-R1, CodeLlama-34b-v2, Llama3-70b",641 GitHub repositories; 10 137 log‑centric changes mined and annotated,"Offline evaluation on logpatches, synthetic data and new repository samples; metrics include detection F1 and BLEU/ROUGE; achieves F1 ≈ 0.625–0.776",Reports 40 submitted patches with 25 merged by GitHub maintainers,–,–
Automated File-Level Logging Generation for Machine Learning Applications using LLMs: A Case Study using GPT-4o Mini,https://arxiv.org/pdf/2508.04820,2025,,No,Python,yes,yes,yes,"L-ACC, AOD, BLEU, ROUGE, METEOR, Levenshtein distance",GPT-4o Mini,None,371 Python ML repositories from GitHub; 4 073 log‑containing files,Offline evaluation with overlogging/underlogging measures,–,–,–
Defects4Log: Benchmarking LLMs for Logging Code Defect Detection and Reasoning,https://arxiv.org/pdf/2508.11305,2025,ASE 2025,CoT,Java,-,-,-,-,DeepSeek-R1,"GPT-4o, Llama3.3, Qwen2.5-72B",164 real‑world logging defects derived from issue reports and commit histories,Offline benchmark measuring detection accuracy and reasoning quality,–,Manual verification of defect classification during dataset creation,–
An Empirical Study on Language Models for Generating Log Statements in Test Code,https://dl.acm.org/doi/pdf/10.1145/3759915,2025,TOSEM,No,Java,yes,yes,yes,"level accuracy, position accuracy, and message accuracy, BLEU, ROUGE",GPT-3.5-Turbo,"Code Llama 7B, Code Llama 70B, GPT-4o, Llama 3.3 (70B)",5 206 759 Java test methods from 6 405 GitHub projects; log statements extracted,"Offline evaluation measuring position, level and message accuracy with BLEU/ROUGE",–,–,–
AUCAD: Automated Construction of Alignment Dataset from Log-Related Issues for Enhancing LLM-based Log Generation,https://arxiv.org/pdf/2412.18835,2025,Internetware 2025,yes,Java,yes,yes,yes,"PA, LA, Adj. LA, MA, BLEU-DM, VP, VR, VF1",Llama 3.1,"Magicoder, LANCE",1 537 log‑related issues from 88 Apache projects; 808 code diff pairs labeled by researchers,"Offline evaluation; position and level accuracy, average level distance, BLEU/ROUGE; includes human validation by two researchers",–,Dataset validated by dual annotators,–
PDLogger: Automated Logging Framework for Practical Software Development,https://arxiv.org/pdf/2507.19951,2025,,CoT,Java,yes,yes,yes,"PA, L- ACC, AOD, Precision, Recall, F1, BLEU-1, BLEU-4, ROUGE-1, ROUGE-L, BERTScore","O3-mini20240131 and Deepseek-V3, LLaMA3-70B-Chat-HF",,3 113 log statements from Apache Hadoop 3.4.1 and ActiveMQ 5.18.7 across 914 methods,"Offline evaluation; position accuracy, level accuracy, variable precision/recall and BLEU/ROUGE; PDLogger shows notable improvements over baselines",–,–,–
AL-Bench: A Benchmark for Automatic Logging,https://arxiv.org/pdf/2502.03160,2025,,-,Java,-,-,-,"PA, LA, ALD, MA, DEA, STS(BLEU, ROUGE)",-,-,21 804 code snippets and 39 600 log statements from 10 high‑quality GitHub projects,"Offline static and dynamic evaluation; metrics include position accuracy, level accuracy, average level distance, message accuracy and runtime comparison",–,–,Provides dynamic evaluation framework but no deployment metrics
Automated Proactive Logging Quality Improvement for Large-Scale Codebases,https://zbchern.github.io/papers/ase25b.pdf,2025,ASE 2025,,,,,,,,,"Internal snapshot of 10 mature cloud services; 20 525 non‑auto‑generated Go methods; test sets include 7 703 removed logs for insertion, 153 modifications and 848 variable enhancements","Closed‑world evaluation using decision F1, position accuracy, level accuracy, variable F1, ROUGE‑L and BLEU‑1; LOGIMPROVER achieves D‑F1 ≈ 0.714 and outperforms baselines",Yes – deployed at ByteDance since April 2025; generates over 3 096 suggestions with a 68.12 % developer acceptance rate,–,Reports developer acceptance (68.12 %) as deployment metric
ConfLogger: Enhance Systems' Configuration Diagnosability through Configuration Logging,https://arxiv.org/pdf/2508.20977,2025,ICSE 2026,No,Java,yes,yes,yes,"LA, AOD, PRECISION, RECALL, F1, BLEU-1, BLEU-4, ROUGE-1, ROUGE-L",GPT-4o-2024-08-06,none,–,–,–,–,–
