Title,Link,Year,Venue,Online vs Offline,Supervised?,LLM enhancement technique (Fine-tune vs. In-context learning),Evaluation metric,Cached?,Baseline Model,Evaluated other Model names,Data source type,Evaluation,Industrial evidence,Human/user study,Deployment metrics
LLM‑powered Zero‑shot Online Log Parsing,https://www.researchgate.net/publication/384956559_LLM-powered_Zero-shot_Online_Log_Parsing,2024,ICWS,Online,unsupervised,zero shot,"GA, PA, ED",yes (template database),ChatGPT,none,–,–,–,–,–
LogBatcher — Demonstration‑Free: Towards More Practical Log Parsing with Large Language Models,https://dl.acm.org/doi/10.1145/3691620.3694994,2024,ASE · Research,Online,unsupervised,no training (RAG),"GA, MLA(PA), ED",yes,GPT-3.5-Turbo,"CodeLlama (7B), Llama3 (70B)",16 public log datasets from the LogHub benchmark (corrected version); Proxifier calibrated,"Offline evaluation; metrics GA, message‑level accuracy and edit distance; also reports token consumption (total and per invocation)",–,–,–
LogGenius: An Unsupervised Log Parsing Framework with Zero‑shot Prompt Engineering,https://www.researchgate.net/publication/384946013_LogGenius_An_Unsupervised_Log_Parsing_Framework_with_Zero-shot_Prompt_Engineering,2024,ICWS,Online,unsupervised,no training,PA,no,GPT-3.5-turbo,none,–,–,–,–,–
LogParser‑LLM: Advancing Efficient Log Parsing with Large Language Models,https://www.arxiv.org/pdf/2408.13727,2024,KDD · Research Track,Online,unsupervised,in-context (RAG & multi-step prompting),"GA, PA, FGA, FTA, GGD, PGD",yes (grouping to reduce calls),ChatGPT (GPT-3.5),GPT-4,LogPub benchmark containing 14 systems (≈3.6 M logs per system),Offline evaluation; grouping F1 ≈90.6 % and parsing accuracy ≈81.1 %,–,–,–
Self‑Evolutionary Group‑wise Log Parsing Based on Large Language Model (SelfLog),https://netman.aiops.org/wp-content/uploads/2024/09/ISSRE2024_paper_129.pdf,2024,ISSRE · Research,Online,supervised/ unsupervised,in-context (few-shot prompting),"GA, PA, PTA, RTA",yes (a tree-based merger),GPT-3.5,"Mistral-7B, lllama2-7B",16 public LogPai datasets with 2 000 labelled logs each,"Offline evaluation using GA, PA, PTA, RTA; SelfLog achieves GA≈0.975 and PA≈0.942 and can process ~45 k logs/s",–,–,–
The Effectiveness of Compact Fine‑Tuned LLMs in Log Parsing,https://users.encs.concordia.ca/~abdelw/papers/ICSME24_LogLLM_preprint.pdf,2024,ICSME,Offline,supervised,fine-tune,"MLA (PA), ED, F1",no,Mistral-7B,GPT-4,"Training data: five LogPai log files (Apache, BGL, HPC, Proxifier, Zookeeper); 80 % of templates and 15 events per template; test includes logs from these files and new logs (Hadoop, Spark, OpenStack)","Fine‑tuned Mistral‑7B LoRA; evaluates message‑level accuracy, edit distance and F1; finds compact models match or surpass GPT‑4 performance",–,–,–
HELP: Hierarchical Embeddings‑based Log Parsing,https://arxiv.org/abs/2408.08300,2024,,Online,supervised/ unsupervised,fine-tunes a text embedding model to cluster logs before parsing,GA FGA PA FTA,yes (cluster to decrease query time),"text-embedding-3-small, Claude-3.5-Sonnet",none,LogHub‑2.0: 14 datasets with ~3.6 M logs and ~3 500 templates,"Offline evaluation; metrics GA, FGA, PA, FTA; outperforms existing parsers; integrated into Iudex’s production observability platform",✔ – integrated in a commercial platform (Iudex),–,Embedded but no metrics reported
OWL : A LARGE LANGUAGE MODEL FORIT OPERATIONS,https://arxiv.org/pdf/2309.09298,2024,ICLR 2024,Offline,supervised (new model),a new model,"RandIndex, F1",No,Owl,,LogHub benchmark; baselines trained on first 10 % logs and tested on remaining 90 %,Zero‑shot evaluation using RandIndex and fine‑level F1; OWL achieves comparable RandIndex to LogStamp and higher F1,–,–,–
PreLog: A Pre-trained Model for Log Analytics,https://dl.acm.org/doi/pdf/10.1145/3654966?casa_token=WuhtlF-X6G8AAAAA:4Etpc2EN_nI0R0RDW1YsB3L75gNNN-a13UxFRD9BOlIpzI4Thg6F2C0oi1y7eSAdBzlTTsJbBgzmD7w,2024,ACM on Management of Data 2024,Online,supervised,a model,"GA, OA, ED, uPA",No,PreLog-140M,FLAN-T5 XL,"Pre‑training on 12 real‑world log datasets (Proxifier, Thunderbird, Linux, OpenStack, etc., 26.2 M messages, >215 M tokens); downstream parsing uses 16 LogPai datasets","Offline evaluation; metrics GA, PA and ED; PreLog outperforms CNN, LogRobust and NeuralLog across datasets",–,–,–
LogEval: A Comprehensive Benchmark Suite for LLMs in Log Analysis,https://arxiv.org/pdf/2407.01896,2025,EMSE,Offline,supervised,log analysis tasks,"PA, ED",No,GPT-4,"GPT-3.5, Claude3 Sonnet, Gemini Pro, Mistral, InternLM2-Chat, DevOps-Model-Chat ,AquilaChat, ChatGLM4, LLaMA-2, Qwen-1.5-Chat , Baichuan2-Chat ","Benchmark of 4 000 log entries across parsing, anomaly detection, fault diagnosis and summarisation tasks",Zero‑ and few‑shot experiments measuring accuracy and F1; also reports inference time and token usage,–,–,Reports inference time and token usage
Parse-LLM: A Prior-Free LLM Parser for Unknown System Logs,https://dl.acm.org/doi/pdf/10.1145/3746252.3761363?casa_token=qtimRrBYVz8AAAAA:Wq4Xst3UwqFOFv0cDXxNl90QuuphvbWf0dx9JGytK9HrTYfemWO6ZeLecnLLfiIaTvzk_cwZit4umg,2025,CIKM '25,Online,unsupervised,in-context,"F1 (FGA), GA",yes (Dynamic Dictionary),ChatGPT-4 ,none,LogHub‑2.0: 14 datasets (~3.6 M logs each),"Offline; metrics GA, PA, FGA, FTA; Parse‑LLM achieves near‑100 % GA and PA across many datasets",–,–,–
LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open‑Source Large Language Models,https://conf.researchr.org/details/icse-2025/icse-2025-research-track/75/LibreLog-Accurate-and-Efficient-Unsupervised-Log-Parsing-Using-Open-Source-Large-Lan,2025,ICSE · Research,Offline,unsupervised,in-context (RAG + self-reflection prompting),"PA, GA",yes (template memory cache),LLaMA3-8B,"ChatGLM3-6B, Mistral-7B, CodeGemma-7B",LogHub‑2.0 benchmark with 14 open‑source systems and >50 M logs (≈3 488 templates),"Compares against AEL, Drain, LILAC and LLMParser using GA and PA; LibreLog achieves near‑perfect GA and PA on most datasets",–,–,–
Log Parsing using LLMs with Self‑Generated In‑Context Learning and Self‑Correction (AdaParser),https://conf.researchr.org/details/icpc-2025/icpc-2025-research/16/Log-Parsing-using-LLMs-with-Self-Generated-In-Context-Learning-and-Self-Correction,2025,ICPC · Research Track,Online,unsupervised,no training (RAG),GA FGA PA FTA,yes (Parsing Tree),ChatGPT,"gemini-1.5-flash, claude-3-sonnet, DeepSeek-V2-chat, qwen1.5-72b-chat",LogHub‑2.0 dataset (14 large‑scale log datasets with ≈3.6 M messages and ≈3 500 templates each),"Offline evaluation; metrics GA, FGA, PA, FTA; AdaParser achieves average GA 96.3 % and PA 93.8 %, outperforming baselines and showing strong robustness",–,–,–
No More Labelled Examples? An Unsupervised Log Parser with LLMs,https://conf.researchr.org/details/fse-2025/fse-2025-research-papers/64/No-More-Labelled-Examples-An-Unsupervised-Log-Parser-with-LLMs,2025,FSE · Research,Online,unsupervised,no training (RAG),GA FGA PA FTA,yes (template database),GPT-3.5,"GPT-4, GPT-4o, claude-3-5-sonnet-20240620, DeepSeekV2.5-236B, Meta-Llama-3.1-8B-Instruct, Meta-Llama-3.170B-Instruct, Meta-Llama-3.1-405B-Instruct, Qwen2-7B-Instruct and
Qwen2-72B-Instruct","17 datasets: 14 from LogHub‑2.0 and three industrial datasets (CTS, HiBench and LoFI)","Unsupervised evaluation; metrics GA, PA, FGA and FTA; LUNAR significantly outperforms unsupervised baselines and approaches label‑required methods",–,–,–
Unleashing the True Potential of Semantic‑based Log Parsing with Pre‑trained Language Models,https://conf.researchr.org/details/icse-2025/icse-2025-research-track/80/Unleashing-the-True-Potential-of-Semantic-based-Log-Parsing-with-Pre-trained-Language,2025,ICSE · Research,Online,supervised,fine-tune PLMs via few-shot learning,GA FGA PA FTA,yes (Adaptive Caching),RoBERTa 125M,"CodeBERT-base, CodeBERT-small, DeBERTa-base","LogHub‑2.0 (14 datasets, ≈3.6 M logs and ≈3 500 templates each)","Semi‑supervised evaluation by sampling 32 labelled logs per dataset; metrics GA, PA, FGA, FTA; average GA ≈0.955 and improved F1 over baselines",–,–,–
Using Large Language Models for Template Detection from Security Event Logs (LLM‑TD),https://doi.org/10.1007/s10207-025-01018-y,2025,International Journal of Information Security,Offline,unsupervised, in-context learning,FGA,yes (Template candidates),"OpenChat, Mistral, and Wizardlm2",none,"Five production security‑syslog datasets from an academic institution: sshd (632 677 logs, 36 templates, 37 hosts), su (2 354 logs, 13 templates), suricata (999 622 logs, 6 templates), snmpd (108 935 logs, 7 templates), apache (63 947 logs, 7 templates)","Compares unsupervised LLM‑based template detection (OpenChat, Mistral, WizardLM2) with Drain; F1 and runtime metrics reported",–,–,–
Lemur: Log Parsing with Entropy Sampling and Chain‑of‑Thought Merging,https://arxiv.org/abs/2402.18205,2025,,Online,unsupervised,in-context (CoT prompting),Parsing Accuracy (template accuracy),yes (cluster to decrease query time),ChatGPT (GPT-3.5),none,"Uses the LogHub benchmark consisting of 14 log datasets from distributed systems, operating systems and servers.",Evaluates log‑parsing accuracy using F1 of Grouping Accuracy (FGA) and Grouping Accuracy (GA); LEMUR achieves perfect or near‑perfect GA/FGA across most datasets.,–,–,–
LogRules: Enhancing Log Analysis Capability of Large Language Models through Rules,https://aclanthology.org/2025.findings-naacl.28.pdf,2025,NAACL 2025,Offline,supervised, in-context learning (case-based or rule based),"GA,PA,ED,FGA,FTA",yes (storing rule),GPT-4o-mini +LLaMA-3-8B-Instruct,"LLaMA-3.1-8B-Instruct, Qwen2.5-7B-Instruct",LogHub: 16 datasets (2 k logs each) for parsing; BGL and Spirit (10 k logs each) for anomaly detection,"Offline evaluation; metrics GA, PA, normalized ED, FGA and FTA for parsing; precision, recall and F1 for anomaly detection",–,–,–
LogLM: From Task-based to Instruction-based Automated Log Analysis,https://arxiv.org/pdf/2410.09352?,2025,,Offline,supervised,log analysis tasks,"RandIndex, F1",No,LLaMA2-7B,none,Loghub2k dataset (7 domains); uses first 10 % logs (1 400 log‑template pairs) for training; BGL and Spirit for anomaly detection; 384 StackOverflow log‑problem‑resolution triplets for interpretation tasks,Offline evaluation: uses RandIndex and F1; LogLM‑7B improves RI by 7.79 % and F1 by 10.03 % over baselines,–,–,–
Adapting Large Language Models to Log Analysis with Interpretable Domain Knowledge,https://arxiv.org/pdf/2412.01377?,2025,CIKM '25,Offline,supervised,log analysis tasks,"RandIndex, F1",No,LLaMA-2-7B,"LLaMa3.1-8B,Qwen2-0.5B, OWL-7B","NLPLog dataset: 14 LogHub domains (OpenSSH, HDFS, HPC, Windows, Mac, Thunderbird, Spark, Linux, Zookeeper, HealthApp, Hadoop, BGL, Android, Proxifier) with ~250 k Q&A pairs and 51 590 unique templates; uses 2 000 parsed logs per domain and sampling of BGL & Spirit for anomaly detection",Offline evaluation: RandIndex and fine‑level F1; SuperLog achieves RI 0.979–1.000 and F1 0.815–0.988 across domains; includes human evaluation (100 log entries rated by 4 experts; SuperLog scores highest usefulness/readability),–,✔ – expert rating for log interpretations,–
Unsupervised Log Parsing Based on Large Language Models and Entropy,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11022687&casa_token=q8idk4MjWeQAAAAA:2ExH3yyXpiuVS4NeC0Ycd2iWG51k96Dugm0myWY47DUcPrnREAd7-z5lgu30J9F06-tRpICpRQA,2025,ISSSR 2025,Offline,unsupervised,logbatcher+ template corrector,GA FGA PA FTA,yes,GPT-3.5-Turbo,"Codellama 7B, Llama3 70B",–,–,–,–,–
EPAS: Efficient Online Log Parsing via Asynchronous Scheduling of LLM Queries,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113127&casa_token=vrDIcGG8C_8AAAAA:SVDZHoCgoMmuMvnY3bwwBKU4En_Xc7x1iDGcwgnLL54mO3Z11TS0LeXE8mWmDZafpL7uJBetSx0,2025,ICDE 2025,Online,unsupervised,utilizes asynchronous scheduling to optimize LLM-based log parsing,GA FGA PA FTA,yes,Llama3.1-70B,"ChatGPT-4o, CodeLlama-7B",–,–,–,–,–
LogBase: A Large-Scale Benchmark for Semantic Log Parsing,https://dl.acm.org/doi/pdf/10.1145/3728969,2025,ISSTA 2025,Offline,,dataset,,,GPT-4,"Llama-3-8B-Instruct, ",Logs from 130 popular open‑source repositories with 85 300 semantically annotated log templates across 8 coarse and 16 fine categories (GenLog framework); dataset is much larger than LogHub‑2.0,"Provides new semantic and general log‑parsing metrics (e.g., semantic grouping and parsing accuracy) and cost metrics; evaluates traditional and LLM‑based parsers; LogBase enables more comprehensive benchmarking",–,–,–
Empirical Analysis of LLMDPP: Advancing Log Parsing in the LLM Era,https://dl.acm.org/doi/pdf/10.1145/3711875.3736683?casa_token=TH9QzmpIPvMAAAAA:Dc0TT-UDfbGNZFZR2Bn6Wz_AfAhTJMmAxiHQ5dxLhg0YKCygUWmy-NsHyqSRl9SBXakqc_NL2Hy8uw,2025,MobiSys 2025,Online,supervised,integrates Determinantal Point Processes (DPP) sampling techniques for fine-tuning LLMs,"GA, PA",No,Flan-T5-small,,Widely adopted log benchmark with data from 16 open‑source systems; employs Determinantal Point Process sampling for few‑shot training,Fine‑tunes Flan‑T5‑small on sampled sets; reports average parsing accuracy ≈0.92 and 16 % improvement for unseen log datasets,–,–,–
Exploring Variable Potential for LLM-based Log Parsing Efficiency and Reduced Costs,https://dl.acm.org/doi/10.1145/3696630.3728506,2025,FSE Companion '25,Online,supervised,variable-aware ICL,PA,yes,gpt-3.5-turbo,,LogHub‑2.0: 14 large‑scale datasets; focuses on reducing sampling cost and token consumption,"Measures sampling time, LLM invocation cost and parsing accuracy; VISTA reduces LLM invocation cost by ≈61.4 % and sampling time by 2.3× compared to LILAC",–,–,–
SemanticLog: Towards Effective and Efficient Large-Scale Semantic Log Parsing,https://ieeexplore.ieee.org/abstract/document/11216353?casa_token=wRgF62p-spwAAAAA:dLn9cV06aUD9zUguxdD5ggSMXCFzloTtF9LhyZPCE9vSJNsIb10X2A9K0Ro7pr9bZxFp_Mlx11o,2025,IEEE Transactions on Software Engineering,Online,unsupervised,variable-aware template generation,"GA,PA,FTA",yes,LLaMA2-7B,LLaMA3.1-8B,–,–,–,–,–
InferLog: Accelerating LLM Inference for Online Log Parsing via ICL-oriented Prefix Caching,https://arxiv.org/pdf/2507.08523,2026,ICSE · Research,Online,unsupervised,"In‑context learning, meta‑learned config tuning",PA PTA RTA GA,yes (prefix KV cache reuse with ICL Table),Qwen 2.5‑14B,LLaMA3‑8B,"LogHub‑2k (16 systems, 2 000 logs per system)","Evaluates parsing accuracy (PA, PTA, RTA, GA) and inference performance; reduces p95 latency by ~42 % and improves throughput while preserving accuracy",–,–,–
