Title,Tool Name,Link,Year,Venue,Supervision,Training,Dataset(s),Parsing Required?,Metrics,Baseline Model,Compared Models
Exploring Semantic vs. Syntactic Features for Unsupervised Learning on Application Log Files,Exploring Semantic vs. Syntactic Features for Unsupervised Learning on Application Log Files,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10339765&casa_token=ELRuZ52yQ_kAAAAA:pK8dLOhFaaYOIFR5H9uG6Zx33NEJoeKzgrcIfHbNQAQGKzEG5-B0_5ymjLZmpcxcJ0cEtMdFe0Qv,2023,CSNet 2023,unsupervised,No,"ECML/PKDD, CSIC, Apache Access",yes,F1,distil-RoBERT,none
Parameter-Efficient Log Anomaly Detection based on Pre-training model and LORA,LogBP-LORA,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10301248&casa_token=O4taxUNPw7IAAAAA:f5RoYglihsnMwDt5AjS-Hbi2xwkqk_Ahwett6MdtDbUI-vf50ecwqttitnZ0wD_3UHUx5uD-KNlp,2023,ISSRE 2023,supervised,yes,"BGL, Thunderbird",yes,F1,BERT-base−uncased,none
Improving Log-Based Anomaly Detection by Pre-Training Hierarchical Transformers,HilBERT,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10070784&casa_token=rvhGDCWwTHsAAAAA:N23qOXWBgWwdHcwUQSsCU_g2BkvKKLgJb-vTHxI-q1FVw61kve9IyYgV-A33qZKrl7qfnZMT-UgB,2023,IEEE TRANSACTIONS ON COMPUTERS 2023,supervised,yes,"HDFS,BGL",yes,F1,BERT,none
LogPrompt: A Log-based Anomaly Detection Framework Using Prompts,LogPrompt: A Log-based Anomaly Detection Framework Using Prompts,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10191948&casa_token=5dwYXGr3zLYAAAAA:KBQ5lVpSD1Aiws_fhMBwvYMLh7B7tyR-rkwyU8GOqMMze7i0_cIYfrPHuZBMPXzxchPk3bilnNw2,2023,IJCNN 2023,supervised,yes,"HDFS,BGL",yes,"F1, acc",BERT-large-uncased,"BERT-base-uncased, RoBERTa-base, RoBERTa-large, ALBERT-base-v1, ALBERT-base-v2"
LogDAPT: Log Data Anomaly Detection with Domain-Adaptive Pretraining,LogDAPT,https://dl.acm.org/doi/pdf/10.1145/3626562.3626830?casa_token=okS1pl9_800AAAAA:fVriQ2L94uEWR5vs9n9dYbw-lXIGdPhkx0xxJd9wZRXBjxNCPH-U7L4Kv_ezEiCPmDOxnEAbf-kpMsE,2023,Middleware 2023,supervised,yes,"HDFS, BGL, and Thunderbird",yes,F1,BERT,none
Optimizing Software Release Management with GPT-Enabled Log Anomaly Detection,Optimizing Software Release Management with GPT-Enabled Log Anomaly Detection,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441522&casa_token=z01_2daYnIEAAAAA:DNc1WAyVvzfJJ-nVT944PCdEC3FWhQerarDcGo0AxytZqaoRbR9uypRNqe0K2-a0JvvHtwTYkftJ&tag=1,2023,ICCIT 2023,supervised,yes,Apache、BGL、HDFS and Thunderbird,yes,"F1, AUC",GPT-3,none
LogGPT: Exploring ChatGPT for Log-Based Anomaly Detection,LogGPT: Exploring ChatGPT for Log-Based Anomaly Detection,https://arxiv.org/pdf/2309.01189,2023,HPCC 2023,supervised,No,"BGL, Spirit",yes,F1,gpt-3.5-turbo,none
Early Exploration of Using ChatGPT for Log-based Anomaly Detection on Parallel File Systems Logs,Early Exploration of Using ChatGPT for Log-based Anomaly Detection on Parallel File Systems Logs,https://dl.acm.org/doi/pdf/10.1145/3588195.3595943,2023,HPDC 2023,supervised,no,Lustre,no,F1,gpt-3.5-turbo,
"Benchmarking Large Language Models for Log Analysis, Security, and Interpretation","Benchmarking Large Language Models for Log Analysis, Security, and Interpretation",https://arxiv.org/pdf/2311.14519,2023,,supervised,yes,"AA, CSIC, PKDD, Thunderbird, Spirit, BGL",yes,F1,DistilRoBERTa,"RoBERTa, Bert,GPT-NEO,GPT-2"
RAPID: Training-free Retrieval-based Log Anomaly Detection with PLM considering Token-level information,RAPID,https://arxiv.org/pdf/2311.05160,2024,EAAI 2024,semi-supervised,no,"HDFS, BGL, Thunderbird",No,F1,bert,"Roberta, ELECTRA"
Interpretable Online Log Analysis Using Large Language Models with Prompt Strategies,LogPrompt,https://dl.acm.org/doi/pdf/10.1145/3643916.3644408,2024,ICPC 2024,unsupervised,no,"HDFS, BGL",yes,F1,ChatGPT,Vicuna
LAnoBERT : System Log Anomaly Detection based on BERT Masked Language Model,LAnoBERT,https://arxiv.org/pdf/2111.09564,2024,Applied Soft Computing 2024,Semi-supervised (train on normal sequence),yes,"HDFS, BGL, Thunderbird",No,"F1, AUROC",Bert,none
RAGLog: Log Anomaly Detection using RetrievalAugmented Generation,LogRAG,https://arxiv.org/pdf/2311.05261,2024,WFPST 2024 (short),Semi-supervised (RAG on normal sequence),no,"BGL, Thunderbird",No,F1,Retrieval Augmented Generation model,
FastLogAD: Log Anomaly Detection with Mask-Guided Pseudo Anomaly Generation and Discrimination,FastLogAD,https://arxiv.org/pdf/2404.08750,2024,,Semi-supervised,yes,"HDFS, BGL, Thunderbird",yes,F1,ELECTRA,none
Semantic Hierarchical Classification Applied to Anomaly Detection Using System Logs with a BERT Model,Semantic Hierarchical Classification Applied to Anomaly Detection Using System Logs with a BERT Model,https://www.mdpi.com/2076-3417/14/13/53888,2024,2024 Applied Sciences,,yes,HDFS,yes,F1,bert-base-uncased,none
Leveraging Large Language Models and BERT for Log Parsing and Anomaly Detection,Leveraging Large Language Models and BERT for Log Parsing and Anomaly Detection,https://www.mdpi.com/2227-7390/12/17/2758,2024,2024 Mathematics journal,Supervised,yes,"HDFS,BGL",Yes,F1,BERT,none
LogELECTRA: Self-supervised Anomaly Detection for Unstructured Logs,LogELECTRA,https://arxiv.org/pdf/2402.10397,2024,,Semi-supervised,yes,"BGL, Thunderbird, Spirit",no,F1,ELECTRA,none
OWL : A LARGE LANGUAGE MODEL FORIT OPERATIONS,OWL : A LARGE LANGUAGE MODEL FORIT OPERATIONS,https://arxiv.org/pdf/2309.09298,2024,ICLR 2024,new model,new model,"BGL, Spirit",yes,F1,Owl,none
LLMeLog: An Approach for Anomaly Detection based on LLM-enriched Log Events,LLMeLog,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771398&casa_token=yTs9qdcxsAoAAAAA:QtOcjNTDBiUQakzHmwoZhvanxKWFvELS5Gi8Ac33eoH6f9BYJ48jlUvrOFJFULFOwrsaNqq--Xqj&tag=1,2024,ISSRE 2024,supervised,yes,"HDFS, BGL, and Thunderbird",yes,F1,ChatGPT 3.5 + BERT-Base,none
LogFiT: Log Anomaly Detection Using Fine-Tuned Language Models,LogFiT,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10414427,2024,TNSM 2024,Semi-supervised,yes,"HDFS, BGL, and Thunderbird",no,"F1, Specificity",bert,none
LogFormer: A Pre-train and Tuning Pipeline for Log Anomaly Detection,LogFormer,https://arxiv.org/abs/2401.04749,2024,AAAI 2024,supervised,yes,"HDFS, BGL, and Thunderbird, GAIA",no,F1,sentence-bert,ChatGPT
Audit-LLM: Multi-Agent Collaboration for Log-based Insider Threat Detection,Audit-LLM,https://arxiv.org/pdf/2408.08902?,2024,,unsupervised,No,"CERT r4.2, CERT r5.2, PicoDomain",no,"precision, detection rate, and accuracy",gpt-3.5-turbo0125,"Llama2-7B, Llama3-8B-instruct, ChatGLM3-6B, and chatGLM4"
Detecting and Explaining Anomalies Caused by Web Tamper Attacks via Building Consistency-based Normality,WebNorm,https://liaoyifan.info/data/ASE24.pdf,2024,ASE 2024,Semi-supervised,No,"TrainTicket, NiceFish",yes,F1,gpt-3.5-turbo-16k,none
Log Anomaly Detection by Leveraging LLM-Based Parsing and Embedding with Attention Mechanism,Log Anomaly Detection by Leveraging LLM-Based Parsing and Embedding with Attention Mechanism,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10667308&casa_token=l-aWQhUtUPwAAAAA:IwtBDesdEDKzF7eYpmif2Yw7_U8kGbv_j6-6xq8jXaVPycUH97Yl9K7BoCDH0O3f-qyL6QfcfX8d&tag=1,2024,CCECE 2024,unsupervised,yes,HDFS,yes,"F1, acc",gpt-3.5-turbo,none
Improving Anomaly Detection in Software Logs Through Hybrid Language Modeling and Reduced Reliance on Parser,LogRoBERTa,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4978351,2025,Automated Software Engineering,supervised,yes,"HDFS,BGL",no,F1,RoBERTa,Bert
LogSense: Scalable Real-Time Log Anomaly Detection Architecture,LogSense,https://clovlog.com/logsense.pdff,2024,,Semi-supervised,yes,-,yes,-,GPT-2,
PreLog: A Pre-trained Model for Log Analytics,PreLog,https://dl.acm.org/doi/pdf/10.1145/3654966?casa_token=WuhtlF-X6G8AAAAA:4Etpc2EN_nI0R0RDW1YsB3L75gNNN-a13UxFRD9BOlIpzI4Thg6F2C0oi1y7eSAdBzlTTsJbBgzmD7w,2024,SIGMOD 2024,supervised,yes,"HDFS,BGL, Spirit",no,F1,PreLog- 140M,FLAN-T5 XL
CLogLLM: A Large Language Model Enabled Approach to Cybersecurity Log Anomaly Analysis,CLogLLM,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929078&casa_token=TU8wBX779iAAAAAA:QANltLZV_tTvhlLOkvbh9N2Xc8EfwK2rwLlh6kf0WArp-Y7glm2uUnGdCc7L8_yDFq0E3Vz56ypE&tag=1,2024,EIECC 2024,unsupervised,yes,"HDFS, BGL, and Thunderbird",no,F1,"Qwen2.5 70B, gpt-3.5-turbo",
Virtual Machine Proactive Fault Tolerance Using Log-Based Anomaly Detection,VMFT-LAD,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10767421,2024,IEEE Access,Semi-supervised,yes,collected VM/Server failures,yes,"ROC, AUC, NAB",GPT 3.5 turbo,"Falcon 7B, Cyrax 7B, and Emerton Monarch 7B, bart Large"
LogRESP-Agent: A Recursive AI Framework for Context-Aware Log Anomaly Detection and TTP Analysis,LogRESP-Agent,https://www.mdpi.com/2076-3417/15/13/7237,2024,2024 Applied Sciences,Semi-supervised,yes,Monster-THC and EVTX-ATTACK-SAMPLES,no,"TPR, FPR, accuracy,F1",Gemini-2.0-Flash,none
LogEval: A Comprehensive Benchmark Suite for Large Language Models In Log Analysis,LogEval,https://arxiv.org/pdf/2407.01896,2025,EMSE,supervised,no,"BGL, Thunderbird",no,"F1, accuracy",GPT-4,"GPT-3.5, Claude3 Sonnet, Gemini Pro, Mistral, InternLM2-Chat, DevOps-Model-Chat ,AquilaChat, ChatGLM4, LLaMA-2, Qwen-1.5-Chat , Baichuan2-Chat"
Leveraging RAG-Enhanced Large Language Model for Semi-Supervised Log Anomaly Detection,LogRAG,https://ieeexplore.ieee.org/document/10771346,2024,ISSRE 2024,Semi-supervised,yes,"BGL, Spirit",yes,Prec Rec F1,ChatGPT-3.5-turbo and Mistral-7B-Instruct,
LogLLM: Log-based Anomaly Detection Using Large Language Models,LogLLM,https://arxiv.org/pdf/2411.08561,2025,,supervised,yes,"HDFS, BGL, Liberty, and Thunderbird",No,F1,BERT-base+LLAMA-3-8B,Llama-3.2-1B
ADALog: Adaptive Unsupervised Anomaly detection in Logs with Self-attention Masked Language Model,ADALog,https://arxiv.org/pdf/2505.13496,2025,,Semi-supervised,no,"BGL, Thunderbird, Spirit",No,F1,distilbert-base-uncased,none
AdaptiveLog: An Adaptive Log Analysis Framework with the Collaboration of Large and Small Language Model,AdaptiveLog,https://arxiv.org/pdf/2501.11031,2025,,Supervised,yes,"BGL, Thunderbird",No,F1,bert+chatgpt,none
LogRules: Enhancing Log Analysis Capability of Large Language Models through Rules,LogRules,https://aclanthology.org/2025.findings-naacl.28.pdf,2025,NAACL 2025,Supervised,yes,"BGL, Spirit",No,F1,GPT-4o-mini + LLaMA-3-8B-Instruct,none
Confront Insider Threat: Precise Anomaly Detection in Behavior Logs Based on LLM Fine-Tuning,Confront Insider Threat: Precise Anomaly Detection in Behavior Logs Based on LLM Fine-Tuning,https://aclanthology.org/2025.coling-main.574.pdf,2025,COLING 2025,Supervised,yes,Cert v6.2,no,"F1, acc",ChatGLM-6B,BERT-Large
Adapting Large Language Models for Parameter-Efficient Log Anomaly Detection,LogADReft,https://arxiv.org/pdf/2503.08045,2025,PAKDD 2025,supervised,yes,"BGL, HDFS,Spirit, and Thunderbird",yes,F1,"RoBERTa, GPT-2, and Llama-3",
LLM meets ML: Data-efficient Anomaly Detection on Unstable Logs,FLEXLOG,https://arxiv.org/pdf/2406.07467,2025,TOSEM,supervised,yes,ADFA-U、LOGEVOLU、SynHDFS-U and SYNEVOL-U,yes,F1,Mistral-22B,"GPT-4o-turbo, LLama 3.1 8B"
SemiRALD: A semi-supervised hybrid language model for robust Anomalous Log Detection,SemiRALD,https://www.sciencedirect.com/science/article/abs/pii/S0950584925000825,2025,Information and Software Technology 2025,supervised,yes,"HDFS,BGL",yes,F1,"ChatGPT, Bert","ChatGPT-4.0, RoBerta"
Bridging the Gap: LLM-Powered Transfer Learning for Log Anomaly Detection in New Software Systems,LogSynergy,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113176&casa_token=-5ItAAuLJHgAAAAA:Ze6g9_X0rShJUM7SrSzBmutUeBRPN6lVN2KMUtMw8r7ALIYogx9sXImpJyFbIVZtg4xH12hrJ_Ty,2025,ICDE 2025,supervised,yes,"BGL, Thunderbird, Spirit",yes,F1,ChatGPT 4o,none
CLSLog: Collaborating Large and Small Models for Log-based Anomaly Detection,CLSLog,https://dl.acm.org/doi/pdf/10.1145/3696630.3728524?casa_token=cjcvvc6e3JcAAAAA:AkU3M-7cEJKfDaSenw4Ky8VPcaNrRY0mJ4qve9T7Po4fp4lpClNm87dOYhuMhKcKyHAWqrOGshwpucs,2025,FSE Companion 2025,supervised,yes,"BGL, Zookeeper",no,F1,Bert+Qwen-plus,
LEMAD: LLM-Empowered Multi-Agent System for Anomaly Detection in Power Grid Services,LEMAD,https://www.mdpi.com/2079-9292/14/15/3008,2025,Advanced Techniques for Multi-Agent Systems 2025,Semi-supervised,yes,State Grid Corporation of China,yes,F1,Bert +GPT-4o-moni,LLaMa
XRAGLog: A Resource-Efficient and Context-Aware Log-Based Anomaly Detection Method Using Retrieval-Augmented Generation,XRAGLog,https://openreview.net/pdf?id=8gv7CXuXQ3,2025,PDLM 2025,Semi-supervised,no,"HDFS, BGL and Thunderbird",yes,F1,GPT-3.5,none
AnomalyGen: An Automated Semantic Log Sequence Generation Framework with LLM for Anomaly Detection,AnomalyGen,https://arxiv.org/pdf/2504.12250,2025,,supervised,yes,Hadoop and HDFS,yes,F1,GPT-4o,DeepSeek-Chat
CoLA: Model Collaboration for Log-based Anomaly Detection,CoLA,https://www.vldb.org/pvldb/vol18/p3979-tang.pdf,2025,VLDB,supervised,yes,"HDFS,BGL, Spirit",yes,F1,lama3-8b,"lama3-70b, GPT-4o"
Anomaly Detection Algorithms for Real-Time Log Data Analysis at Scale,Anomaly Detection Algorithms for Real-Time Log Data Analysis at Scale,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11105402,2025,IEEE Access,supervised,yes,"BGL, Thunderbird, VReg, ICard",yes,"F1, accuracy",llama,none
TOWARDS GENERALIZABLE CONTEXT-AWAREANOMALY DETECTION: A LARGE-SCALE BENCH-MARK IN CLOUD ENVIRONMENTS,CloudAnoAgent,https://arxiv.org/pdf/2508.01844?,2025,,supervised,no,CloudAnoBench,no,"ACA, ATCA",Gemini 2.5 Flash,"Gemini 2.5 Flash Lite, Gemini 2.0 Flash Lite, GPT-4o Mini, GPT-4o, Qwen-plus"
AD-LLM: Benchmarking Large Language Models for Anomaly Detection,AD-LLM,https://arxiv.org/pdf/2412.11142,2025,ACL 2025,Semi-supervised,yes,"AG News, BBC News, IMDB Reviews, N24 News, SMS Spam",no,"AUROC, AUPRC",Llama 3.1 8B Instruct,"GPT-4o, DeepSeekV3"
Good Enough to Learn: LLM-based Anomaly Detection in ECU Logs without Reliable Labels,Good Enough to Learn: LLM-based Anomaly Detection in ECU Logs without Reliable Labels,https://arxiv.org/pdf/2507.01077,2025,2025 IEEE Intelligent Vehicles Symposium (IV),supervised,yes,ECU communication data,yes,top-k and perplexity,Qwen2-0.4B,"Mamba-130M, Qwen2-1.3B"
LLM-Based Detection of Cyber Anomalies in Industrial Control Systems,LLM-Based Detection of Cyber Anomalies in Industrial Control Systems,https://foundryjournal.net/wp-content/uploads/2025/06/21.FJ25C699.pdf,2025,Zhuzao/Foundry,supervised,yes,"SWaT, Morris ICS",no,"F1, accuracy",BERT,none
APT-LLM: Embedding-Based Anomaly Detection of Cyber Advanced Persistent Threats Using Large Language Models,APT-LLM:,https://arxiv.org/pdf/2502.09385,2025,ISDFS 2025,Semi-supervised,yes,"Android, Linux, BSD, and Windows",yes,AUC-ROC,BERT,"ALBERT, DistilBERT, RoBERTa, and miniLM"
A Novel Framework for Detecting Anomalies in Network Security using LLM and Deep Learning,A Novel Framework for Detecting Anomalies in Network Security using LLM and Deep Learning,https://d1wqtxts1xzle7.cloudfront.net/123051387/A_Novel_Framework_for_Detecting_Anomalies_in_Network_Security_using_LLM_and_Deep_Learning-libre.pdf?1748702308=&response-content-disposition=inline%3B+filename%3DA_Novel_Framework_for_Detecting_Anomalie.pdf&Expires=1757340441&Signature=P5ExUQW11cvyN4v~ggJbROUWh~JxzhlJDnaXaze5WPWWvPfT~Rfn2svgtqFRZKqQLtJPdpgTxJ4av2KLrkUwi3B5IxMlz19Cds8upcdFe2B~Bj66G-Gy9j-wi1nosrLdRkQ3vY1l-n03byFQwD6od-PKV9KsGqxAHy-WGz0h-0JMz4lxhepT0JhGxOXOfLDuxRzeG0baOwNjxHEiQNYvWyFW-Rnvh7f~8fLEstHo0rYEplqmEwIIcqknq9xU5kDNQHr0PmknBZ5xq38egxvRc~6wcavQ8PmsClS10KcgmcRBIkKKeIbZbmCKro5iAbR9~7evlBqQuMkG-JyXoilgmg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,2025,Electrical Systems,supervised,yes,"KDD Cup 1999, UNSW-NB15, and CICIDS",yes,"F1, accuracy",BERT,GPT
AnomalyExplainerBot: Explainable AI for LLM-based anomaly detection using BERTViz &Captum,AnomalyExplainerBot,https://arxiv.org/pdf/2509.00069,2025,MLCS 2025,supervised,yes,HDFS,yes,"F1, accuracy",RoBERTa,"Falcon-7B and DeBERTa, Mistral-7B"
From Alerts to Intelligence: A Novel LLM-AidedFramework for Host-based Intrusion Detection,SHIELD,https://arxiv.org/pdf/2507.10873,2025,,supervised,yes,"DARPA-E3, NodLink-simulated-data and ATLASv2",yes,"TP,FP,TN,FN,Precision, MCC,",Deepseek-R1,"Llama3.3-70B, OpenAI-o3-mini, Sonar-Reasoning-Pro"
LUK: Empowering Log Understanding with Expert Knowledge from Large Language Models,LUK,https://arxiv.org/pdf/2409.01909,2025,TSE,supervised,yes,"BGL, Thunderbird, Spirit",yes,F1,gpt-3.5-turbo,"Llama-3.3-70B-Instruct, GPT-4o"
LogLM: From Task-based to Instruction-based Automated Log Analysis,LogLM,https://arxiv.org/pdf/2410.09352?,2025,,supervised,yes,BGL Spirit,yes,F1,LLaMA2-7B,
LogReasoner: Empowering LLMs with Expert-like Coarse-to-Fine Reasoning for Log Analysis Tasks,LogReasoner,https://arxiv.org/abs/2509.20798,2025,,supervised,yes,BGL Spirit,no,F1,Qwen2.5-1.5B,"Qwen2.5-7B, Llama3.1-8B"
Adapting Large Language Models to Log Analysis with Interpretable Domain Knowledge,NLPLog,https://arxiv.org/pdf/2412.01377?,2025,CIKM '25,supervised,yes,BGL Spirit,yes,F1,LLaMA-2-7B,none
SemiSMAC: A semi-supervised framework for log anomaly detection withautomated hyperparameter tuning,SemiSMAC,https://scholars.cityu.edu.hk/ws/portalfiles/portal/339689112/328951957.pdf,2025,Information and Software Technology,supervised,yes,"BGL, HDFS,Spirit, and Thunderbird",yes,F1,GPT-4-turbo,
