Title,link,Year,Venue,Train?,Dataset type?,Output,metric,baseline LLM,compared LLMs,Data source type,Evaluation,Industrial evidence,Human/user study,Deployment metrics
Demystifying and Extracting Fault-indicating Information from Logs for Failure Diagnosis,https://arxiv.org/pdf/2409.13561,2024,ISSRE 2024,yes,log,"Fault-indicating description, Fault-indicating parameter","Precision,Recall, and F1-score",UniXcoder,"CodeBERT, roberta, bert",Two datasets: FIBench (71 cases from Apache Spark with 21 injected faults) and Industry dataset (88 fault cases from 33 CloudA microservices),"Offline evaluation with precision/recall/F1 and an online user study: 10 engineers rate 50 cases, reporting mean accuracy scores 4.34/5 for descriptions and 4.02/5 for parameters",Integrated into CloudA’s log analysis platform for rapid diagnosis,Yes – 10 engineers evaluate tool and report time savings,Deployed in CloudA; no quantitative metrics beyond user ratings
LogEval: A Comprehensive Benchmark Suite for LLMs in Log Analysis,https://arxiv.org/pdf/2407.01896,2025,EMSE,yes,log,fault types,accuracy F1_score,GPT-4,"GPT-3.5, Claude3 Sonnet, Gemini Pro, Mistral, InternLM2-Chat, DevOps-Model-Chat ,AquilaChat, ChatGLM4, LLaMA-2, Qwen-1.5-Chat , Baichuan2-Chat ",4 000 log entries benchmarked across multiple tasks; includes fault diagnosis and summarisation,Offline zero‑/few‑shot evaluation measuring accuracy and F1; also reports inference time and token usage,–,–,Provides inference time and token usage
ScalaLog: Scalable Log-Based Failure Diagnosis Using LLM,https://ieeexplore.ieee.org/abstract/document/10888670,2025,ICASSP 2025,no,log,root-cause description,F1,GPT-3.5-turbo,,–,–,–,–,–
AetherLog: Log-based Root Cause Analysis by Integrating Large Language Models with Knowledge Graphs,https://nkcs.iops.ai/wp-content/uploads/2025/08/Tianyu_AetherLog_to_ISSRE-3.pdf,2025,ISSRE 2025,yes,log,root-cause category prediction,F1,GPT-4o,,Two real‑world datasets: Dataset 12 from Alibaba Cloud Tianchi with 2 671 fault cases labelled with three root causes; Dataset 23 from China Mobile OpenStack system with 93 fault cases labelled with six root causes,"Offline multi‑class classification; evaluates precision, recall, macro‑F1 and inference time using GPT‑4, DeepSeek, LLaMA and Mistral models",–,–,–
LogLM: From Task-based to Instruction-based Automated Log Analysis,https://arxiv.org/pdf/2410.09352?,2025,,yes,log,log-problem-resolution (from SO),"BLEU, ROUGE-1,ROUGE-2,ROUGE-L",LLaMA2-7B,"LLaMA-3-70B, LLaMA-3.1-405B, Claude-3.5-Sonne, GPT-4, OWL-7B",384 log‑problem‑resolution triplets from StackOverflow; converted to 376 instruction–response pairs after human calibration; split 300/76 for training/testing,"Offline instruction‑tuned LLM evaluation; BLEU and ROUGE metrics for log interpretation, root‑cause analysis and solution recommendation; LogLM‑7B outperforms baselines",–,–,–
LogReasoner: Empowering LLMs with Expert-like Coarse-to-Fine Reasoning for Log Analysis Tasks,https://arxiv.org/abs/2509.20798,2025,,yes,log,Failure type,Accuracy and Weighted-F1,Qwen2.5-1.5B,"Qwen2.5-7B, Llama3.1-8B",Multiple datasets: (1) Anomaly detection: 1 000 000 log entries each from BGL and Spirit; (2) Log semantic matching; (3) Potential failure prediction; (4) Root cause analysis – user‑submitted issues from Huawei forums labelled into five error types,Offline evaluation across tasks; for RCA uses accuracy and weighted F1 on five error types; outperforms baseline LLMs,–,–,–
Adapting Large Language Models to Log Analysis with Interpretable Domain Knowledge,https://arxiv.org/pdf/2412.01377?,2025,CIKM '25,yes,log,"0/1 failure detection, fault type",F1,LLaMA-2-7B,"BaiChuan2-13b, AquilaChat-7b, LLaMa2-70b, Qwen1.5-72b, InternLM2-7b, InternLM2-20b, and Mistral-7b, DeVops-7b and DeVops-14b",NLPLog dataset containing ≈250 000 question–answer pairs covering 14 log‑hub domains; built from knowledge bases and log manuals,"Evaluated on multiple log‑analysis tasks (e.g., summarisation, classification); not specific to RCA",–,–,–
LogExpert: Log-based Recommended Resolutions Generation using Large Language Model,https://dl.acm.org/doi/abs/10.1145/3639476.3639773,2024,ICSE-NIER'24,yes,logs + StackOverflow log issues,executable resolution steps + command filling,"BLEU-4, ROUGE-L","GPT-3.5-turbo, GPT-4",,Dataset of 3 258 Stack Overflow texts (358 logs) for log recognition; additional 105 Apache Q&A pages to build log–resolution pairs,Evaluates log recogniser (F1 = 0.936) and uses BLEU/ROUGE for resolution generation; human study with four participants who find 70.59 % of LogExpert recommendations useful vs 46.9 % for baseline,–,Yes – four participants evaluate usefulness and concreteness,–
Knowlog: Knowledge enhanced pre-trained language model for log understanding,https://drive.google.com/file/d/1pLAWSljLmoZwqCwpYpCxgQZL_i16JJv9/view,2024,ICSE 2024,yes,log,cause ranking,Accuracy and Weighted F1-score,BERT,Roberta,FPI dataset: 602 Huawei switch logs labelled by experts across 43 fault phenomena; LPCR dataset: logs and possible causes extracted from Huawei documentation with random candidates,Offline evaluation; metrics include Hamming‑score for FPI and precision@1/MRR for LPCR,–,–,–
AdaptiveLog: An Adaptive Log Analysis Framework with the Collaboration of Large and Small Language Model,https://arxiv.org/pdf/2501.11031,2025,,yes,log,Failure type,Recall@k,bert+chatgpt,none,LPCR dataset: logs and their possible causes from Huawei documentation; candidate set built by adding four random causes per log; FPI dataset: 602 Huawei switch logs across 43 phenomena,Offline evaluation; LPCR uses precision@k and MRR; FPI uses Hamming‑score and multi‑label accuracy,–,–,–
Domain Tailored Large Language Models for Log Mask Prediction in Cellular Network Diagnostics,https://bura.brunel.ac.uk/bitstream/2438/30820/1/FullText.pdf,2025,IEEE Transactions on Network and Service Management,yes,log,fault classification,F1,"RoBERTa,BigBird and Flan-T5",,-,,,,
